,WHO Region,WHO Country Name,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
261,European Region,Italy,2010,8734.847815328974,11046.63655267935,10693.20801251531
262,European Region,Italy,2013,6416.438118420192,8083.540427930071,7545.253175531679
263,European Region,Italy,2014,6666.595556226141,8270.836185882128,7638.133680224909
264,European Region,Italy,2015,8181.581318312926,10636.847640653361,9117.530178660498
265,European Region,Italy,2016,8091.19353450014,10056.466308147872,8894.155341676864
266,European Region,Italy,2017,8563.892648025261,11064.169156557466,9280.6423448057
267,European Region,Italy,2018,8392.91397773759,10656.493398605413,8538.253175531676
268,European Region,Italy,2019,8069.536539931647,10331.177701786228,8459.54184011246
269,European Region,Kazakhstan,2018,32.25,30.397151590409777,20.617833854804335
270,European Region,Kazakhstan,2019,21.77,30.397151590409777,20.617833854804335
271,European Region,Kyrgyzstan,2019,33.15,30.397151590409777,20.617833854804335
272,European Region,Latvia,2010,88.91044323744384,104.28999999999999,110.47566770960866
273,European Region,Latvia,2013,102.33044323744386,129.30999999999997,108.52783385480434
274,European Region,Latvia,2014,83.58,124.18,83.52000000000001
275,European Region,Latvia,2015,87.74522161872193,106.11000000000001,78.56
276,European Region,Latvia,2016,68.99,96.17,65.37
277,European Region,Latvia,2017,63.56,90.69,69.05783385480433
278,European Region,Latvia,2018,70.84,109.36,69.69000000000001
279,European Region,Latvia,2019,57.17,99.38000000000001,65.2
280,European Region,Lithuania,2010,208.32655133105345,283.84715159040974,148.26783385480434
281,European Region,Lithuania,2013,190.2561080936096,288.14,153.39783385480436
282,European Region,Lithuania,2014,315.39221618721916,427.09000000000003,229.21783385480433
283,European Region,Lithuania,2015,304.5322161872192,368.84,225.3778338548043
284,European Region,Lithuania,2016,295.9022161872192,339.51,235.3278338548043
285,European Region,Lithuania,2017,196.49132971233152,240.51430318081952,160.62783385480432
286,European Region,Lithuania,2018,183.18610809360962,243.2,169.16783385480434
287,European Region,Lithuania,2019,180.64610809360963,237.56,151.74783385480436
288,European Region,Luxembourg,2010,88.15044323744382,118.17430318081955,118.66999999999999
289,European Region,Luxembourg,2013,116.69566485616576,137.77430318081957,144.54566770960867
290,European Region,Luxembourg,2014,81.14044323744383,103.66715159040977,101.60566770960868
291,European Region,Luxembourg,2015,80.68044323744384,108.24715159040977,107.10566770960868
292,European Region,Luxembourg,2016,102.20566485616575,137.47430318081956,115.41783385480434
293,European Region,Luxembourg,2017,98.41566485616576,134.48430318081955,110.64783385480433
294,European Region,Luxembourg,2018,143.27610809360962,196.1786063616391,198.9678338548043
295,European Region,Luxembourg,2019,115.82088647488769,154.61145477122932,148.21783385480433
296,European Region,Malta,2010,44.95,110.35,58.487833854804336
297,European Region,Malta,2013,62.595221618721915,121.00715159040978,70.22
298,European Region,Malta,2014,59.32522161872192,117.76000000000002,58.46566770960867
299,European Region,Malta,2015,76.21522161872193,150.21430318081954,93.66566770960867
300,European Region,Malta,2016,70.45522161872192,163.07715159040978,91.82783385480434
301,European Region,Malta,2017,57.88522161872192,114.66430318081956,75.58783385480433
302,European Region,Malta,2018,96.65,249.97430318081956,125.24
303,European Region,Malta,2019,47.2,120.00715159040979,59.83
304,European Region,Monaco,2013,22.96522161872192,14.85,20.617833854804335
